Ranking - Agricultura - Valor da produção (Brasil),,
produto,valor,unidade
Soja,169.100.228,Mil Reais
Milho em grão,73.949.252,Mil Reais
Cana-de-açúcar,60.800.886,Mil Reais
Café,27.254.184,Mil Reais
Algodão herbáceo,19.127.892,Mil Reais
Arroz,11.631.701,Mil Reais
Laranja,10.898.251,Mil Reais
Mandioca,10.887.678,Mil Reais
Banana,8.638.598,Mil Reais
Trigo,6.777.285,Mil Reais
Fumo,6.048.966,Mil Reais
Tomate,6.045.302,Mil Reais
Batata,5.483.311,Mil Reais
Açaí (cultivo),4.754.806,Mil Reais
Uva,3.627.749,Mil Reais
Cacau,3.223.892,Mil Reais
Cebola,2.551.766,Mil Reais
Abacaxi,2.334.120,Mil Reais
Melancia,1.773.547,Mil Reais
Limão,1.761.328,Mil Reais
Manga,1.757.602,Mil Reais
Maçã,1.728.845,Mil Reais
Alho,1.631.920,Mil Reais
Amendoim,1.606.996,Mil Reais
Sorgo,1.419.519,Mil Reais
Maracujá,1.370.269,Mil Reais
Tangerina,1.187.969,Mil Reais
Coco-da-baía,1.149.030,Mil Reais
Mamão,1.112.700,Mil Reais
Pimenta-do-reino,1.066.279,Mil Reais
Goiaba,1.001.767,Mil Reais
Borracha,961.703,Mil Reais
Dendê,814.289,Mil Reais
Melão,623.952,Mil Reais
Aveia branca,611.984,Mil Reais
Erva-mate (cultivo),576.805,Mil Reais
Abacate,473.236,Mil Reais
Feijão,460.923,Mil Reais
Cevada,460.923,Mil Reais
Pêssego,456.745,Mil Reais
Castanha-de-caju (cultivo),451.625,Mil Reais
Caqui,344.140,Mil Reais
Sisal (fibra),282.236,Mil Reais
Palmito (cultivo),282.223,Mil Reais
Figo,113.472,Mil Reais
Fava,96.845,Mil Reais
Girassol (em grão),94.767,Mil Reais
Mamona,94.723,Mil Reais
Urucum (cultivo),49.091,Mil Reais
Noz,44.242,Mil Reais
Pera,37.454,Mil Reais
Guaraná,37.088,Mil Reais
Triticale,29.848,Mil Reais
Ervilha em grão,14.037,Mil Reais
Malva,10.689,Mil Reais
Azeitona,7.551,Mil Reais
Linho (semente),7.146,Mil Reais
Centeio,6.982,Mil Reais
Juta,2.933,Mil Reais
Marmelo,2.687,Mil Reais
Chá-da-Índia,1.632,Mil Reais
Fonte: IBGE - PAM
,,
